gene_id	enriched_in	symbol
108148	Control	Galnt2
14241	Control	Foxl1
13479	Control	Dpep1
234852	Control	Chmp1a
320869	Control	Spata33
100861480	Control	Gm25018
100861494	Control	Gm22109
100861499	Control	Gm25212
100861502	Control	Gm23284
104346	Control	Gas8
69581	Control	Rhou
100628572	Control	Mir101c
14802	Control	Gria4
110350	Control	Dync2h1
22068	Control	Trpc6
244682	Control	Cntn5
75723	Control	Amotl1
258907	Control	Or7g32
20586	Control	Smarca4
102465657	Control	Mir7083
235041	Control	Kank2
319899	Control	Dock6
319845	Control	Bbs9
73230	Control	Bmper
320752	Control	Dpy19l2
67703	Control	Kirrel3
258802	Control	Or8c8
72828	Control	Ubash3b
272589	Control	Tbcel
214162	Control	Kmt2a
12502	Control	Cd3g
140630	Control	Ube4a
18475	Control	Pafah1b2
70661	Control	Sik3
74072	Control	4933407I05Rik
19684	Control	Rdx
13075	Control	Cyp19a1
66199	Control	Commd4
319477	Control	Insyn1
100217453	Control	Snord16a
330959	Control	Snapc5
67891	Control	Rpl4
68014	Control	Zwilch
13143	Control	Dapk2
208117	Control	Aph1b
235493	Control	Atosa
59046	Control	Arpp19
235497	Control	Leo1
100048658	Control	Ddx43
214763	Control	Cgas
68291	Control	Mto1
70598	Control	Filip1
63859	Control	Impg1
94353	Control	Hmgn3
212531	Control	Sh3bgrl2
320615	Control	Dop1a
70348	Control	Ube3d
22771	Control	Zic1
235527	Control	Plscr4
331003	Control	4933400C23Rik
68861	Control	Dipk2a
22063	Control	Trpc1
245007	Control	Zbtb38
319707	Control	C430002N11Rik
319859	Control	E030011O05Rik
64085	Control	Clstn2
74769	Control	Pik3cb
28135	Control	Cep63
81907	Control	Tmem108
23999	Control	Twf2
81897	Control	Tlr9
235587	Control	Parp3
27966	Control	Rrp9
208869	Control	Dock3
382105	Control	Fbxw15
17758	Control	Map4
19228	Control	Pth1r
72654	Control	Ccdc12
74100	Control	Arpp21
620760	Control	2900079G21Rik
12424	Control	Cck
29806	Control	Limd1
83493	Control	Sacm1l
22288	Control	Utrn
215821	Control	Arfgef3
70208	Control	Med23
237339	Control	L3mbtl3
73910	Control	Arhgap18
432450	Control	Nkain2
72472	Control	Slc16a10
71713	Control	Cdc40
83767	Control	Wasf1
103199	Control	Fig4
103268	Control	Cep57l1
140742	Control	Sesn1
140740	Control	Sec63
109205	Control	Sobp
66686	Control	Dcbld1
71567	Control	Mcm9
75906	Control	Fam184a
18768	Control	Pkib
13608	Control	Edar
215999	Control	Mcu
94214	Control	Spock2
22295	Control	Cdh23
327760	Control	Gm20611
67345	Control	Herc4
108829	Control	Jmjd1c
69288	Control	Rhobtb1
327768	Control	A330049N07Rik
11994	Control	Pcdh15
17319	Control	Mif
64451	Control	Dip2a
59093	Control	Pcbp3
18357	Control	Or7a41
100885825	Control	Mir5615-1
100885826	Control	Mir5615-2
208677	Control	Creb3l3
26396	Control	Map2k2
14672	Control	Gna11
14797	Control	Tle5
331188	Control	Zfp781b
73610	Control	Zfp433
71137	Control	Rfx4
