Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-119000	0.214995445632235	7.17831614902903e-06	7.95755582263267e-06	0.314613764311468	1.13577708899994e-05	1.18104876968815e-05
-118000	0.214148080207477	1.02910367512176e-05	1.11384021759757e-05	0.313977544436713	1.438952495414e-05	1.50257448288949e-05
-117000	0.213366436839775	7.71307483079259e-06	8.49471819849453e-06	0.313390853311405	1.16170535770763e-05	1.22037447023847e-05
-116000	0.212772850907711	8.87361629451578e-06	9.46720222657979e-06	0.31322183566323	1.29810867227529e-05	1.31501043709279e-05
-115000	0.212038648870896	8.75317856916945e-06	9.48738060598393e-06	0.312727054209627	1.23807957492568e-05	1.28755772028591e-05
-114000	0.211277563413246	7.08767157948005e-06	7.84875703713075e-06	0.312057119362389	1.18376241381492e-05	1.25075589853881e-05
-113000	0.210553482193687	7.73135555696122e-06	8.45543677651971e-06	0.31157486242014	1.24510089189702e-05	1.29332658612183e-05
-112000	0.209289645138845	8.15870706559555e-06	9.42254412043773e-06	0.310813903472705	1.19182744006578e-05	1.26792333480929e-05
-111000	0.208025744828895	8.71073439180213e-06	9.97463470175217e-06	0.309886077550762	1.29210576254033e-05	1.38488835473464e-05
-110000	0.207451704725157	6.3076728445822e-06	6.88171294832058e-06	0.309657220570561	1.11886267316086e-05	1.14174837118097e-05
-109000	0.206191156935923	8.4468340818521e-06	9.70738187108608e-06	0.308737175026883	1.2781200581947e-05	1.37012461256246e-05
-108000	0.205311657916377	8.48554620785628e-06	9.36504522740212e-06	0.308392687709533	1.26068062496047e-05	1.29512935669555e-05
-107000	0.204818457840471	6.53817445758745e-06	7.03137453349357e-06	0.308036561452337	1.11720538933519e-05	1.15281801505472e-05
