##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	evoC-Bap1-mut-M_S2_L005_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	312387017
Sequences flagged as poor quality	0
Sequence length	151
%GC	22
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.52340115338404	40.0	40.0	40.0	9.0	40.0
2	37.932093599139556	40.0	40.0	40.0	40.0	40.0
3	38.07596996580687	40.0	40.0	40.0	40.0	40.0
4	37.7700388617623	40.0	40.0	40.0	24.0	40.0
5	38.07941556354757	40.0	40.0	40.0	40.0	40.0
6	38.36001602140847	40.0	40.0	40.0	40.0	40.0
7	38.61866686668351	40.0	40.0	40.0	40.0	40.0
8	38.73849626727605	40.0	40.0	40.0	40.0	40.0
9	38.805322853734346	40.0	40.0	40.0	40.0	40.0
10-14	38.95295174254953	40.0	40.0	40.0	40.0	40.0
15-19	39.039807254217614	40.0	40.0	40.0	40.0	40.0
20-24	39.05273347643638	40.0	40.0	40.0	40.0	40.0
25-29	39.03098638187002	40.0	40.0	40.0	40.0	40.0
30-34	39.00828892578465	40.0	40.0	40.0	40.0	40.0
35-39	38.95230898664396	40.0	40.0	40.0	40.0	40.0
40-44	38.92039102380494	40.0	40.0	40.0	40.0	40.0
45-49	38.874279416676266	40.0	40.0	40.0	40.0	40.0
50-54	38.834092510957326	40.0	40.0	40.0	40.0	40.0
55-59	38.77874832230943	40.0	40.0	40.0	40.0	40.0
60-64	38.72863806820756	40.0	40.0	40.0	40.0	40.0
65-69	38.673816658648136	40.0	40.0	40.0	40.0	40.0
70-74	38.61179253553934	40.0	40.0	40.0	40.0	40.0
75-79	38.53946001603517	40.0	40.0	40.0	40.0	40.0
80-84	38.486880916052925	40.0	40.0	40.0	40.0	40.0
85-89	38.41961148340554	40.0	40.0	40.0	40.0	40.0
90-94	38.33552449716564	40.0	40.0	40.0	40.0	40.0
95-99	38.2628259240364	40.0	40.0	40.0	40.0	40.0
100-104	38.18979138239922	40.0	40.0	40.0	40.0	40.0
105-109	38.104340835650035	40.0	40.0	40.0	40.0	40.0
110-114	38.00748895847999	40.0	40.0	40.0	40.0	40.0
115-119	37.94233208737993	40.0	40.0	40.0	40.0	40.0
120-124	37.85822044646625	40.0	40.0	40.0	27.2	40.0
125-129	37.76775318034424	40.0	40.0	40.0	24.0	40.0
130-134	37.68741294712642	40.0	40.0	40.0	24.0	40.0
135-139	37.61695373146702	40.0	40.0	40.0	24.0	40.0
140-144	37.543734539390286	40.0	40.0	40.0	24.0	40.0
145-149	37.445899118144204	40.0	40.0	40.0	24.0	40.0
150-151	36.643997698534314	40.0	40.0	40.0	24.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1107	105-109	0.5438971048551196
1107	110-114	0.5838246425156512
1107	115-119	0.5820467477211935
1107	120-124	0.6170079324441176
1107	125-129	0.5907342358337004
1107	130-134	0.5927285753553306
1107	135-139	0.6310707812267182
1107	140-144	0.683454981793048
1107	145-149	0.6865830961338801
1107	150-151	1.0161865481329002
1108	1	-0.09780129716271801
1108	2	-0.08541021672126448
1108	3	0.13067871126217767
1108	4	0.6908784292664549
1108	5	-0.0319478099763586
1108	6	-0.039134206413187655
1108	7	0.49927842218310303
1108	8	0.44168068249720704
1108	9	0.44181395548440605
1108	10-14	0.3652042835027416
1108	15-19	0.3444948121591267
1108	20-24	0.3248430897060288
1108	25-29	0.3272210099171602
1108	30-34	0.31347750769986504
1108	35-39	0.3340117891678531
1108	40-44	0.3490449716901054
1108	45-49	0.3469726607337691
1108	50-54	0.37327124159644853
1108	55-59	0.38009347300049257
1108	60-64	0.390861485857144
1108	65-69	0.41546551260771736
1108	70-74	0.4332409979003202
1108	75-79	0.4481903042140871
1108	80-84	0.4758146651161326
1108	85-89	0.47809270100496093
1108	90-94	0.5111955021837389
1108	95-99	0.5240939305269521
1108	100-104	0.5635812538984126
1108	105-109	0.5534321797780279
1108	110-114	0.627875955322267
1108	115-119	0.6167644196504085
1108	120-124	0.6410464069823831
1108	125-129	0.635148576427568
1108	130-134	0.6591218318287062
1108	135-139	0.6686587864058282
1108	140-144	0.7245313498687977
1108	145-149	0.7422082831313332
1108	150-151	1.0414831554485318
1109	1	0.022448187405686326
1109	2	-0.017493446057279982
1109	3	0.19964572166762906
1109	4	0.7184283350482659
1109	5	0.7079792012816171
1109	6	-0.05431978020975947
1109	7	0.4740179492655301
1109	8	0.4065141989266152
1109	9	0.46836282086498215
1109	10-14	0.35896155112347117
1109	15-19	0.3506577323893154
1109	20-24	0.32766781534859035
1109	25-29	0.3386760543438143
1109	30-34	0.341394566279142
1109	35-39	0.36158413226116437
1109	40-44	0.3687767207714714
1109	45-49	0.3728616085270815
1109	50-54	0.3876578085204656
1109	55-59	0.4068241081055888
1109	60-64	0.4157866000889996
1109	65-69	0.42587176150087913
1109	70-74	0.4413366928633593
1109	75-79	0.46971603989122457
1109	80-84	0.48439905620132606
1109	85-89	0.49187190915678514
1109	90-94	0.5135223916260614
1109	95-99	0.5391917649597744
1109	100-104	0.5678162539922198
1109	105-109	0.5828960663021903
1109	110-114	0.6180405973871004
1109	115-119	0.6277574281893763
1109	120-124	0.6594884482483465
1109	125-129	0.6228887294726704
1109	130-134	0.6414638848260736
1109	135-139	0.6433460802030524
1109	140-144	0.7041320459849771
1109	145-149	0.7180024559887386
1109	150-151	1.0309695829972227
1110	1	0.028893922858600263
1110	2	-0.028161881659030996
1110	3	0.20333058404374782
1110	4	0.7637660348298851
1110	5	-0.005322121910452893
1110	6	-0.016975073405809837
1110	7	0.48933700429245164
1110	8	0.43122895156020746
1110	9	0.44407951438196136
1110	10-14	0.35741253962152086
1110	15-19	0.3370349759775948
1110	20-24	0.33657041994373316
1110	25-29	0.3227256775895171
1110	30-34	0.3271970328994982
1110	35-39	0.3475584633969291
1110	40-44	0.3512679524800646
1110	45-49	0.361468524535276
1110	50-54	0.3703043703954876
1110	55-59	0.39433098508596487
1110	60-64	0.400451096248041
1110	65-69	0.41614976711500873
1110	70-74	0.4364151345098932
1110	75-79	0.44440246000694117
1110	80-84	0.4500139021769485
1110	85-89	0.47376888902532244
1110	90-94	0.5081765026732015
1110	95-99	0.5291480280111358
1110	100-104	0.5529573239431187
1110	105-109	0.5775360512951053
1110	110-114	0.5854914320392766
1110	115-119	0.5987105646485986
1110	120-124	0.6044419692126795
1110	125-129	0.6204280279036496
1110	130-134	0.6621981221608806
1110	135-139	0.6561387417389355
1110	140-144	0.704913923809535
1110	145-149	0.7349588621141834
