gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
4930567K20Rik	0.676959614559251	0.0139605614487918	2	NA	NA	NA	NA	NA	NA	NA	NA
4930568G15Rik	-0.522072103937303	0.04929271023403	1	NA	NA	NA	NA	NA	NA	NA	NA
4930570G19Rik	0.527212583077462	0.0294176371787511	1	NA	NA	NA	NA	NA	NA	NA	NA
4930572O13Rik	-0.373353437309714	0.0476457877277569	1	NA	NA	NA	NA	NA	NA	NA	NA
4930578N18Rik	-0.446476843747982	0.0388389051879838	1	NA	NA	NA	NA	NA	NA	NA	NA
4930579J19Rik	-0.512370365358897	0.044532670845199	1	NA	NA	NA	NA	NA	NA	NA	NA
4930579P08Rik	-0.50675326740506	0.0345814368417701	1	NA	NA	NA	NA	NA	NA	NA	NA
4930581F22Rik	0.514564748375354	0.0432964181656701	1	NA	NA	NA	NA	NA	NA	NA	NA
4930583I09Rik	-0.903362212361349	0.00177994029117578	1	-0.00976607114897365	0.53788308481144	FALSE	0.0150332897256906	0.246840336406633	FALSE	Other	Not DMR
4930583K01Rik	0.75962194607456	0.00244777452676477	3	NA	NA	NA	NA	NA	NA	NA	NA
4930583P06Rik	0.565622751908197	0.00278374914276176	4	NA	NA	NA	NA	NA	NA	NA	NA
4930591E09Rik	-0.532803445255115	0.0311969595934791	1	NA	NA	NA	NA	NA	NA	NA	NA
4930592I03Rik	-1.11093169958012	0.0001068043353661	1	NA	NA	NA	NA	NA	NA	NA	NA
4930593A02Rik	-0.559329258913571	0.0202103680323713	2	NA	NA	NA	NA	NA	NA	NA	NA
4930596D02Rik	0.644315820703947	0.00385427764014789	3	0.00309072142771094	0.778213950549397	FALSE	-0.0100116833567821	0.303355951950064	FALSE	Other	Not DMR
4930596I21Rik	0.653017646303481	0.0182548402337939	1	NA	NA	NA	NA	NA	NA	NA	NA
4931403E22Rik	-0.586426143593461	0.0272358900895648	2	NA	NA	NA	NA	NA	NA	NA	NA
4931429L15Rik	-0.63267817541433	0.0163546641664643	2	-0.0213631686704442	0.0139823308313539	TRUE	-0.00700302343678576	0.222191101247689	FALSE	Other	mC DMR only
4931429P17Rik	-0.56761492784059	0.0240759257761081	2	NA	NA	NA	NA	NA	NA	NA	NA
4932415M13Rik	-0.458959143048969	0.0332907008134227	2	NA	NA	NA	NA	NA	NA	NA	NA
4932435O22Rik	0.573850296321887	0.00493870521270859	7	NA	NA	NA	NA	NA	NA	NA	NA
4932441J04Rik	0.495961155972362	0.0373729340348731	1	NA	NA	NA	NA	NA	NA	NA	NA
4933400F21Rik	-0.55213419958234	0.0394453575784251	1	NA	NA	NA	NA	NA	NA	NA	NA
4933400L20Rik	0.681066415654214	0.0119764932067282	1	NA	NA	NA	NA	NA	NA	NA	NA
4933401H06Rik	-0.49423307051438	0.0196964220789164	1	NA	NA	NA	NA	NA	NA	NA	NA
4933402D24Rik	-0.465257662972061	0.021710615130561	2	0.0152561422353837	0.0764054369959526	FALSE	-0.00851658556860138	0.243253243407051	FALSE	Other	Not DMR
4933402J07Rik	-0.43215590835474	0.0378535506879211	1	-0.0194846216751456	3.64559001914285e-05	TRUE	0.0127895463345078	6.96226014725792e-05	TRUE	Other	Both mC+hmC DMR
4933405E24Rik	-0.526955922000559	0.0476033592213005	1	NA	NA	NA	NA	NA	NA	NA	NA
4933405O20Rik	0.57569433771088	0.0315769280142688	1	-0.0185169294751707	0.073428349282506	FALSE	0.01872560498757	0.00143619752021801	TRUE	Other	hmC DMR only
4933407E24Rik	0.785453007266661	0.00639143940650843	1	NA	NA	NA	NA	NA	NA	NA	NA
4933409F18Rik	1.03972778519233	3.42459567848318e-05	4	NA	NA	NA	NA	NA	NA	NA	NA
4933413L06Rik	-0.503216630341972	0.048737219836986	1	NA	NA	NA	NA	NA	NA	NA	NA
4933416E03Rik	0.559819470267162	0.0372906691105752	2	NA	NA	NA	NA	NA	NA	NA	NA
4933416M06Rik	0.564869309285324	0.00573255590474146	2	NA	NA	NA	NA	NA	NA	NA	NA
4933427D06Rik	-0.70594503478481	0.00474794141797772	1	NA	NA	NA	NA	NA	NA	NA	NA
4933427E13Rik	0.598056175835343	0.0274403449879696	1	NA	NA	NA	NA	NA	NA	NA	NA
4933428C19Rik	-0.679710737697954	0.0119836848816895	1	NA	NA	NA	NA	NA	NA	NA	NA
4933429O19Rik	-0.542613073349264	0.0232055461863627	4	NA	NA	NA	NA	NA	NA	NA	NA
4933430M04Rik	0.588953410443893	0.02884657664791	3	NA	NA	NA	NA	NA	NA	NA	NA
4933431G14Rik	0.626002425199635	0.0208035778691364	1	NA	NA	NA	NA	NA	NA	NA	NA
4933433F19Rik	1.05625201169502	0.000163245231504252	11	NA	NA	NA	NA	NA	NA	NA	NA
4933436I01Rik	0.512448291442847	0.0182591869385051	1	-0.00820500298740134	0.623262287624662	FALSE	-0.0133870371636569	0.122845425925612	FALSE	Other	Not DMR
4933440J02Rik	-0.731162096252417	0.00750615596919624	3	NA	NA	NA	NA	NA	NA	NA	NA
5031425F14Rik	0.506719870656598	0.037317136596505	3	NA	NA	NA	NA	NA	NA	NA	NA
5430403N17Rik	0.522922963615834	0.0197293758939849	3	NA	NA	NA	NA	NA	NA	NA	NA
5430421F17Rik	0.6423499003613	0.00909386099003168	1	NA	NA	NA	NA	NA	NA	NA	NA
5430427M07Rik	-0.685649873536326	0.014282496873804	2	NA	NA	NA	NA	NA	NA	NA	NA
5530401A14Rik	0.413756892886264	0.0355664617016008	1	-0.000744868622565509	0.781477476573348	FALSE	0.00650924816129934	0.0264240074468868	TRUE	Other	hmC DMR only
5730435O14Rik	-0.544750055755013	0.0418172861843944	1	NA	NA	NA	NA	NA	NA	NA	NA
5730480H06Rik	0.549044086033783	0.0403761083961863	31	0.0137187572381992	5.07969996686192e-08	TRUE	-0.0163017606078511	3.26391021061228e-33	TRUE	Other	Both mC+hmC DMR
5830416I19Rik	-0.498909296645658	0.049505550849093	2	NA	NA	NA	NA	NA	NA	NA	NA
