gene	mc_diff	mc_q	mc_ctrl	mc_mut	hmc_diff	hmc_q	hmc_ctrl	hmc_mut	coordinated_pattern	combined_effect
Gmps	0.0241069675877083	0.038721591556767	0.791318887798302	0.81542585538601	-0.0294276625357081	0.000477426217003696	0.124157981024678	0.09473031848897	TRUE	0.0535346301234164
Pak2	0.0292656846433328	0.0164437171181807	0.720971736596737	0.750237421240069	-0.0242651513201367	0.00745580022192612	0.147949508119	0.123684356798863	TRUE	0.0535308359634695
Slc25a12	0.0246611441129133	0.0131203504809102	0.669068196973293	0.693729341086206	-0.0288310430164802	0.000397073275360187	0.214394037003131	0.185562993986651	TRUE	0.0534921871293935
Cdadc1	0.0266154611419823	0.016188160183274	0.814857890753905	0.841473351895887	-0.0268762833725367	0.000563880859804996	0.103267560327194	0.0763912769546572	TRUE	0.053491744514519
Usp37	0.0310368164888999	9.79115976309185e-06	0.797251352767596	0.828288169256495	-0.0224045900658005	1.68076022179038e-05	0.107039298307551	0.084634708241751	TRUE	0.0534414065547004
Fbxo11	0.0268683863256345	0.0145544282583274	0.492554966188415	0.519423352514049	-0.0265539531602544	0.00559665903794423	0.317611654263122	0.291057701102868	TRUE	0.0534223394858889
Psmd1	0.0250873872752524	0.000190929057146483	0.829850932722526	0.854938319997779	-0.0283321863315099	2.80700793274188e-08	0.108298394215901	0.0799662078843914	TRUE	0.0534195736067622
Ptprg	0.0238084389510763	3.41520293370965e-17	0.74089733408008	0.764705773031157	-0.029550093560533	2.40274310225804e-35	0.179439739186736	0.149889645626203	TRUE	0.0533585325116094
Ikbkb	0.0244147895361581	0.00665803937905463	0.796745808362262	0.82116059789842	-0.0289424873022723	2.30458361165147e-06	0.107356313874413	0.0784138265721409	TRUE	0.0533572768384303
Mon2	0.0266452270956026	0.000227401382535604	0.75792834219703	0.784573569292633	-0.0266656544214139	1.95601358446196e-06	0.149365792735383	0.122700138313969	TRUE	0.0533108815170165
Cacna2d1	0.028958232555031	3.14265751248531e-14	0.637155009014753	0.666113241569784	-0.0242455351081303	9.96320304769683e-13	0.245659899502186	0.221414364394056	TRUE	0.0532037676631613
Btaf1	0.0252571598592994	0.00476897869275481	0.764180320656524	0.789437480515823	-0.027944512300079	2.17545537982738e-05	0.135993598089263	0.108049085789184	TRUE	0.0532016721593784
Pbx3	0.0277705323674005	4.37786001930584e-07	0.706553624532835	0.734324156900235	-0.0254191332348604	3.15420398404649e-09	0.160314268847817	0.134895135612956	TRUE	0.0531896656022608
Dennd5b	0.0231506802695172	0.0308567418142482	0.690280861196883	0.7134315414664	-0.0300340054678848	0.000229010578376226	0.205246376104931	0.175212370637046	TRUE	0.053184685737402
Copb2	0.0299005462764457	0.0460221048014422	0.768092096826317	0.797992643102763	-0.0232838855675351	0.0266407564858984	0.112761417205702	0.089477531638167	TRUE	0.0531844318439808
Acin1	0.0265203716762273	0.0395809184518252	0.665746780624803	0.69226715230103	-0.0266534142282541	0.00731827616147633	0.197055397601717	0.170401983373463	TRUE	0.0531737859044814
Gm12258	0.0299117135359818	0.00335712501303128	0.838013379754266	0.867925093290248	-0.0232532976294772	0.00403135647146354	0.100298396183768	0.0770450985542903	TRUE	0.053165011165459
Sgtb	0.0273975121557164	0.0254382271252479	0.759674474838101	0.787071986993817	-0.0257511483493889	0.00214402555342999	0.116385583638064	0.0906344352886754	TRUE	0.0531486605051053
