loop_id	direction	logFC	FDR	anchor1_type	anchor2_type	anchor1_dist_to_boundary	anchor2_dist_to_boundary	min_dist_to_boundary	nearest_boundary_type	nearest_boundary_enriched	nearest_boundary_gap_score	near_boundary_10kb	near_boundary_25kb	near_boundary_50kb	near_boundary_100kb
loop_15592	down_in_mutant	-0.664483931374313	0.0084439241924161	Active_Promoter	Active_Promoter	264999	74999	74999	Shifted	Matrix 2	2.771793079622308	FALSE	FALSE	FALSE	TRUE
loop_16029	up_in_mutant	0.546459951447628	0.0075177148628495	Other	Other	954999	894999	894999	Merge	Matrix 1	-2.42804198184376	FALSE	FALSE	FALSE	FALSE
loop_16581	down_in_mutant	-0.425091885207135	0.0180706558798058	Polycomb	Polycomb	124999	74999	74999	Complex	Matrix 2	2.1962540921521447	FALSE	FALSE	FALSE	TRUE
loop_16414	down_in_mutant	-1.3440356291333	0.0014165462047666	Repressed_Promoter	Bivalent_Promoter	6444999	1269999	1269999	Split	Matrix 2	2.1317463734612008	FALSE	FALSE	FALSE	FALSE
loop_17706	up_in_mutant	0.375262567986718	0.0180706558798058	Other	Other	94999	254999	94999	Split	Matrix 2	2.4706538922022103	FALSE	FALSE	FALSE	TRUE
loop_17895	up_in_mutant	0.387391598664985	0.0125381759837717	Other	Polycomb	24999	134999	24999	Split	Matrix 2	3.1065301820523112	FALSE	TRUE	TRUE	TRUE
loop_17936	up_in_mutant	1.00989598387211	2.56421900049556e-5	Other	Other	204999	824999	204999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_18971	up_in_mutant	0.410748004377354	0.0279548023039296	Other	Other	204999	0	0	Strength Change	Matrix 2	3.5982229258445355	TRUE	TRUE	TRUE	TRUE
loop_19875	up_in_mutant	0.373449281904222	0.0281586939122201	Poised_Enhancer	Other	104999	174999	104999	Strength Change	Matrix 2	2.594166755872513	FALSE	FALSE	FALSE	FALSE
loop_20048	up_in_mutant	0.602771575667794	0.0080305936373873	Other	Repressed_Promoter	1144999	704999	704999	Split	Matrix 2	2.2602671421898948	FALSE	FALSE	FALSE	FALSE
loop_21838	up_in_mutant	0.544817153178618	0.0152296050443023	Repressed_Promoter	Repressed_Promoter	614999	104999	104999	Merge	Matrix 1	-2.745244707765976	FALSE	FALSE	FALSE	FALSE
loop_51	down_in_mutant	-0.778369948212038	0.0037923314878649	Polycomb	Poised_Enhancer	94999	19999	19999	Shifted	Matrix 1	-6.500202354907955	FALSE	TRUE	TRUE	TRUE
loop_57	down_in_mutant	-0.526699063345898	0.0177223396604711	Poised_Enhancer	Poised_Enhancer	219999	19999	19999	Shifted	Matrix 1	-6.500202354907955	FALSE	TRUE	TRUE	TRUE
loop_58	down_in_mutant	-0.971315924387862	0.0232482187122889	Repressed_Promoter	Repressed_Promoter	0	89999	0	Split	Matrix 2	2.687119756065669	TRUE	TRUE	TRUE	TRUE
loop_59	down_in_mutant	-1.26277552432515	0.0022367399412622	Repressed_Promoter	Polycomb	254999	174999	174999	Merge	Matrix 1	-2.251225788854599	FALSE	FALSE	FALSE	FALSE
loop_60	down_in_mutant	-1.31418547582669	0.014939203019758	Repressed_Promoter	Polycomb	1189999	174999	174999	Merge	Matrix 1	-2.251225788854599	FALSE	FALSE	FALSE	FALSE
loop_62	down_in_mutant	-2.00769909675552	0.0014165462047666	Repressed_Promoter	Repressed_Promoter	254999	1189999	254999	Strength Change	Matrix 2	3.330738358994006	FALSE	FALSE	FALSE	FALSE
loop_225	down_in_mutant	-0.711085675572845	0.001576260373577	Repressed_Promoter	Repressed_Promoter	0	119999	0	Strength Change	Matrix 1	-2.431868569017891	TRUE	TRUE	TRUE	TRUE
loop_611	down_in_mutant	-1.17816135652886	0.0203861789965565	Repressed_Promoter	Repressed_Promoter	0	309999	0	Strength Change	Matrix 2	2.690933464479578	TRUE	TRUE	TRUE	TRUE
loop_715	down_in_mutant	-0.895280520017971	0.0072549435388523	Repressed_Promoter	Repressed_Promoter	0	639999	0	Shifted	Matrix 1	-3.1702614785343273	TRUE	TRUE	TRUE	TRUE
loop_964	up_in_mutant	0.62518332416956	0.0094993359520156	Other	Other	99999	1099999	99999	Strength Change	Matrix 2	2.341362757144705	FALSE	FALSE	FALSE	TRUE
