15	9	E	-2822793.3549298877	81
emissionprobs	9	3	H3K27ac	0	3.5267759527584415E-14
emissionprobs	9	3	H3K27ac	1	0.9999999999999648
emissionprobs	9	4	H3K27me3	0	0.9813230428045999
emissionprobs	9	4	H3K27me3	1	0.018676957195400117
emissionprobs	9	5	H3K4me1	0	1.0
emissionprobs	9	5	H3K4me1	1	1.4583258522231459E-37
emissionprobs	9	6	H3K4me3	0	0.23867068470313402
emissionprobs	9	6	H3K4me3	1	0.761329315296866
emissionprobs	9	7	H3K9ac	0	0.06769751422870939
emissionprobs	9	7	H3K9ac	1	0.9323024857712906
emissionprobs	9	8	H3K9me3	0	0.9978083668232577
emissionprobs	9	8	H3K9me3	1	0.0021916331767423136
emissionprobs	10	0	ATAC	0	0.7571051641664001
emissionprobs	10	0	ATAC	1	0.24289483583360003
emissionprobs	10	1	CTCF	0	0.9674382866320976
emissionprobs	10	1	CTCF	1	0.032561713367902326
emissionprobs	10	2	H2AK119ub	0	0.9338567945284777
emissionprobs	10	2	H2AK119ub	1	0.06614320547152239
emissionprobs	10	3	H3K27ac	0	1.0
emissionprobs	10	3	H3K27ac	1	4.670106250089042E-80
emissionprobs	10	4	H3K27me3	0	0.9734898295007357
emissionprobs	10	4	H3K27me3	1	0.026510170499264348
emissionprobs	10	5	H3K4me1	0	1.0
emissionprobs	10	5	H3K4me1	1	2.0932522596344586E-28
emissionprobs	10	6	H3K4me3	0	0.6176027133188265
emissionprobs	10	6	H3K4me3	1	0.3823972866811735
emissionprobs	10	7	H3K9ac	0	0.12378869760735005
emissionprobs	10	7	H3K9ac	1	0.87621130239265
emissionprobs	10	8	H3K9me3	0	0.9986429617428256
emissionprobs	10	8	H3K9me3	1	0.001357038257174418
emissionprobs	11	0	ATAC	0	1.0
emissionprobs	11	0	ATAC	1	6.600168889472926E-36
emissionprobs	11	1	CTCF	0	1.0
emissionprobs	11	1	CTCF	1	1.0009996886588613E-78
emissionprobs	11	2	H2AK119ub	0	1.0
emissionprobs	11	2	H2AK119ub	1	5.6039989139670295E-158
emissionprobs	11	3	H3K27ac	0	1.0
emissionprobs	11	3	H3K27ac	1	1.0540350674314457E-168
emissionprobs	11	4	H3K27me3	0	1.0
emissionprobs	11	4	H3K27me3	1	2.4087505150525578E-164
emissionprobs	11	5	H3K4me1	0	1.0
emissionprobs	11	5	H3K4me1	1	1.148159953996911E-101
emissionprobs	11	6	H3K4me3	0	1.0
emissionprobs	11	6	H3K4me3	1	1.7730612909329699E-124
emissionprobs	11	7	H3K9ac	0	1.0
emissionprobs	11	7	H3K9ac	1	1.6586747358672728E-174
emissionprobs	11	8	H3K9me3	0	1.0
